Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild
black rockfish,5/8/2009,7,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,7.3,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,8.4,0-10,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,8.7,0-10,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11.3,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,10.5,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,19,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,19.2,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,18.6,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,5/8/2009,18.7,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,5/8/2009,20.5,20-30,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,5/8/2009,20.8,20-30,1,1.97,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,5/8/2009,21.3,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7,0-10,1,1.86,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,6,0-10,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7.2,0-10,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7.5,0-10,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,12,20-Oct,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,11.3,20-Oct,1,16.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,12.5,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,10.3,20-Oct,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,16.5,20-Oct,1,2.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,17.2,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,17,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
