Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild,,,,,,,
black rockfish,05/08/2009,7.0,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,7.3,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,8.4,0-10,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,8.7,0-10,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,11.3,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,11.0,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,11.0,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,10.5,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,19.0,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,19.2,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/08/2009,18.6,10-20,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
quillback rockfish,05/08/2009,18.7,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Demersal,,,,,,,
black rockfish,05/08/2009,20.5,20-30,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,05/08/2009,20.8,20-30,1,1.97,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,05/08/2009,21.3,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,7.0,0-10,1,1.86,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,6.0,0-10,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,7.2,0-10,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,7.5,0-10,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,12.0,10-20,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,11.3,10-20,1,16.90,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,12.5,10-20,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,10.3,10-20,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,16.5,10-20,1,2.91,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,17.2,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,17.0,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,17.5,10-20,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
canary rockfish,05/17/2009,20.8,20-30,1,1.99,NA,Cage Study - Hannah,Deep Pelagic,,,,,,,
black rockfish,05/17/2009,20.5,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
black rockfish,05/17/2009,20.3,20-30,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic,,,,,,,
